user_id,purchase_intent,indecisiveness,engagement_level
162,0.5816,0.5208,high
163,0.0499,0.0316,low
164,0.7296,0.5052,medium
165,0.0187,0.7564,medium
166,0.1614,0.404,low
167,0.1684,0.4338,low
168,0.29,0.6727,low
169,0.1934,0.1112,low
170,0.0387,0.8965,low
171,0.3979,0.4438,medium
172,0.3698,0.4014,low
173,0.3429,0.5556,medium
174,0.1631,0.5906,low
175,0.1858,0.7838,low
176,0.3826,0.4394,medium
177,0.2846,0.212,low
178,0.3427,0.59,low
179,0.0708,0.7774,medium
180,0.2017,0.7022,low
181,0.3876,0.1218,low
182,0.3235,0.1275,low
183,0.5619,0.7968,medium
184,0.0942,0.6965,medium
185,0.4617,0.711,low
186,0.5385,0.7026,medium
187,0.3989,0.4525,medium
188,0.2791,0.3237,high
189,0.3486,0.3776,low
190,0.3163,0.6887,medium
191,0.2988,0.2037,low
192,0.4323,0.6664,low
193,0.4133,0.9614,medium
194,0.3523,0.5122,low
195,0.0497,0.495,low
196,0.1633,0.3562,medium
197,0.2459,0.6989,low
198,0.1343,0.6589,high
199,0.4798,0.2673,high
200,0.314,0.531,low
201,0.2142,0.5245,medium
202,0.5758,0.2453,medium
203,0.2064,0.3599,medium
204,0.2639,0.2354,low
205,0.3476,0.1867,medium
206,0.1717,0.6338,medium
207,0.1221,0.5557,high
208,0.0239,0.0414,medium
209,0.3539,0.5608,low
210,0.3112,0.6791,high
211,0.354,0.1707,low
212,0.2326,0.5659,high
213,0.0541,0.9699,low
214,0.3987,0.8784,low
215,0.152,0.5214,high
216,0.1338,0.3506,low
217,0.1028,0.4861,high
218,0.6043,0.1956,low
219,0.1713,0.8481,medium
220,0.4926,0.3998,medium
221,0.0405,0.628,low
222,0.4858,0.3568,medium
223,0.6681,0.7319,low
224,0.3115,0.7557,high
225,0.1991,0.5288,high
226,0.5371,0.6307,medium
227,0.1241,0.5117,high
228,0.131,0.7392,medium
229,0.0709,0.5521,high
230,0.2658,0.327,medium
231,0.2166,0.3841,medium
232,0.3276,0.8594,high
233,0.365,0.7694,low
234,0.1698,0.5586,low
235,0.4858,0.1893,high
236,0.3333,0.5338,medium
237,0.2208,0.4124,low
238,0.2239,0.5327,low
239,0.3767,0.3931,medium
240,0.1261,0.406,low
241,0.5748,0.6594,medium
242,0.3802,0.4502,low
243,0.7277,0.2488,low
244,0.5038,0.8384,high
245,0.1004,0.3174,low
246,0.3549,0.3677,high
247,0.0844,0.4423,medium
248,0.2638,0.3591,high
249,0.2092,0.5065,medium
250,0.1417,0.2726,low
251,0.214,0.2003,low
252,0.2007,0.1044,high
253,0.1734,0.1704,medium
254,0.7415,0.2564,low
255,0.2906,0.3827,high
256,0.3882,0.1594,low
257,0.0453,0.7128,low
258,0.1198,0.6796,low
259,0.3768,0.1615,high
260,0.2767,0.4531,low
261,0.2656,0.5172,medium
262,0.1028,0.4548,low
263,0.1233,0.3021,low
264,0.2033,0.8416,low
265,0.51,0.5553,high
266,0.2317,0.1508,low
267,0.227,0.4041,high
268,0.4573,0.9114,low
269,0.1102,0.7695,high
270,0.1437,0.5767,low
271,0.1224,0.0193,medium
272,0.3551,0.7391,low
273,0.4391,0.1579,low
274,0.1789,0.3075,high
275,0.2657,0.786,low
276,0.6461,0.7273,high
277,0.3164,0.35,medium
278,0.4098,0.2948,medium
279,0.211,0.3466,low
280,0.0751,0.6278,high
281,0.2774,0.5888,medium
282,0.236,0.1173,high
283,0.344,0.7131,low
284,0.5019,0.5977,low
285,0.438,0.8967,medium
286,0.1691,0.4202,medium
287,0.0297,0.6553,low
288,0.119,0.8402,low
289,0.092,0.3623,low
290,0.1815,0.7618,medium
291,0.1814,0.6748,low
292,0.5309,0.5456,low
293,0.3956,0.5935,low
294,0.2788,0.5802,low
295,0.4872,0.2835,low
296,0.3511,0.3462,low
297,0.0547,0.6417,medium
298,0.2959,0.4608,high
299,0.4188,0.1382,low
300,0.1934,0.3598,high
301,0.3913,0.1901,medium
302,0.514,0.627,high
303,0.303,0.0807,low
304,0.5255,0.3069,medium
305,0.5779,0.7808,medium
306,0.3903,0.5267,high
307,0.042,0.7999,low
308,0.1752,0.4782,low
309,0.446,0.4455,high
310,0.1846,0.3077,low
311,0.0638,0.034,high
312,0.0761,0.17,low
313,0.3586,0.2773,low
314,0.4346,0.3026,low
315,0.0593,0.4471,medium
316,0.1761,0.9016,medium
317,0.2126,0.1323,high
318,0.2988,0.515,medium
319,0.0931,0.5288,medium
320,0.4794,0.7924,medium
321,0.1921,0.2957,low
322,0.3088,0.8432,medium
323,0.4165,0.1842,high
324,0.2968,0.3729,high
325,0.2797,0.5036,low
326,0.3897,0.7636,low
327,0.0596,0.2221,medium
328,0.0449,0.7441,medium
329,0.3342,0.7185,low
330,0.4166,0.4788,high
331,0.4957,0.6651,low
332,0.3303,0.6934,low
333,0.3624,0.7668,medium
334,0.6659,0.2309,medium
335,0.3028,0.4791,high
336,0.3612,0.4276,low
337,0.5472,0.1512,low
338,0.4556,0.6727,high
339,0.1647,0.4751,low
340,0.4182,0.2625,low
341,0.3257,0.3838,medium
342,0.0706,0.7629,high
343,0.3039,0.4504,high
344,0.326,0.4364,high
345,0.2105,0.6806,low
346,0.236,0.6469,high
347,0.2372,0.3703,low
348,0.1283,0.3154,low
349,0.2063,0.602,low
350,0.1302,0.3323,low
351,0.3506,0.7054,low
352,0.1797,0.6905,high
353,0.2593,0.8976,high
354,0.0757,0.439,low
355,0.2514,0.2425,low
356,0.3449,0.6424,low
357,0.1583,0.1271,medium
358,0.4037,0.2804,high
359,0.1393,0.8396,medium
360,0.4467,0.7472,low
361,0.8313,0.0921,high
362,0.25,0.4397,medium
363,0.4948,0.7426,medium
364,0.2261,0.2235,low
365,0.2952,0.2737,medium
366,0.2901,0.3255,low
367,0.2495,0.657,low
368,0.4535,0.9221,medium
369,0.4264,0.1994,low
370,0.4954,0.5484,medium
371,0.2621,0.2348,medium
372,0.1624,0.6407,low
373,0.392,0.5975,low
374,0.3813,0.6614,medium
375,0.1633,0.526,low
376,0.2679,0.1571,low
377,0.2881,0.3984,low
378,0.2245,0.3139,low
379,0.4437,0.7401,low
380,0.5197,0.124,medium
381,0.5609,0.8709,medium
382,0.2107,0.4618,low
383,0.1348,0.4326,low
384,0.0371,0.4872,high
385,0.0605,0.3469,medium
386,0.1306,0.7369,low
387,0.2089,0.8278,medium
388,0.4536,0.4856,high
389,0.1356,0.5604,high
390,0.3323,0.2931,low
391,0.5745,0.0711,medium
392,0.2928,0.1468,medium
393,0.179,0.3587,medium
394,0.1676,0.3546,high
395,0.13,0.5511,low
396,0.4311,0.2131,low
397,0.1774,0.797,medium
398,0.5027,0.2539,high
399,0.2337,0.6745,high
400,0.3499,0.5115,low
401,0.1294,0.6078,high
402,0.4423,0.077,low
403,0.4885,0.5894,high
404,0.1182,0.6218,medium
405,0.4353,0.6111,low
406,0.2506,0.6002,low
407,0.4091,0.5449,low
408,0.0463,0.86,low
409,0.2293,0.3063,low
410,0.2036,0.1279,high
411,0.1596,0.8171,low
412,0.153,0.2015,high
413,0.0706,0.6394,low
414,0.6339,0.8623,medium
415,0.2805,0.2732,medium
416,0.4756,0.4618,low
417,0.3634,0.7829,low
418,0.362,0.7964,medium
419,0.4154,0.3253,low
420,0.4077,0.4315,low
421,0.4417,0.5032,medium
422,0.4418,0.8408,low
423,0.2396,0.2937,low
424,0.2692,0.6636,low
425,0.2995,0.484,medium
426,0.1506,0.5029,high
427,0.1031,0.3101,low
428,0.0378,0.6782,medium
429,0.1931,0.5395,low
430,0.2765,0.6249,high
431,0.2718,0.2458,high
432,0.3059,0.2313,low
433,0.2594,0.4505,low
434,0.2148,0.7566,medium
435,0.2998,0.8788,medium
436,0.194,0.4462,medium
437,0.1063,0.023,low
438,0.3805,0.3857,low
439,0.1609,0.9396,low
440,0.2481,0.4421,medium
441,0.5766,0.5003,medium
442,0.2247,0.3663,low
443,0.3152,0.2449,high
444,0.1119,0.0696,high
445,0.5216,0.185,medium
446,0.2614,0.7859,medium
447,0.2892,0.8887,medium
448,0.127,0.4122,medium
449,0.1055,0.2918,low
450,0.0871,0.5705,medium
451,0.1762,0.2814,medium
452,0.4642,0.7524,medium
453,0.5925,0.6357,medium
454,0.577,0.0574,low
455,0.2618,0.726,medium
456,0.0986,0.4367,low
457,0.2045,0.5064,high
458,0.096,0.2018,high
459,0.2841,0.2743,medium
460,0.2672,0.6756,low
461,0.1299,0.468,low
462,0.1373,0.8873,high
463,0.285,0.5668,low
464,0.2256,0.1757,medium
465,0.3575,0.8098,low
466,0.4768,0.7402,high
467,0.1854,0.5448,low
468,0.0472,0.4736,medium
469,0.5138,0.5035,low
470,0.5913,0.3416,high
471,0.4271,0.5542,medium
472,0.136,0.2948,medium
473,0.1177,0.6369,low
474,0.2665,0.5851,medium
475,0.2054,0.3906,low
476,0.4717,0.3343,low
477,0.3361,0.693,low
478,0.2046,0.6968,medium
479,0.4918,0.3722,medium
480,0.116,0.3933,low
481,0.5077,0.8679,high
482,0.1839,0.5289,low
483,0.5058,0.4542,medium
484,0.1284,0.3472,medium
485,0.2213,0.7088,high
486,0.3013,0.6859,low
487,0.8911,0.7119,medium
488,0.2602,0.6584,medium
489,0.6423,0.8374,medium
490,0.4125,0.54,high
491,0.0831,0.2477,low
492,0.6826,0.2019,medium
493,0.1521,0.3489,high
494,0.0719,0.7388,low
495,0.447,0.5786,medium
496,0.2692,0.9031,low
497,0.1741,0.6959,low
498,0.1994,0.719,low
499,0.1797,0.6445,low
500,0.3365,0.7702,medium
501,0.1007,0.1711,high
502,0.1081,0.9574,low
503,0.2581,0.24,low
504,0.4175,0.7197,low
505,0.0206,0.5712,medium
506,0.2597,0.7397,low
507,0.3055,0.3106,medium
508,0.1816,0.3621,low
509,0.2132,0.4098,medium
510,0.3075,0.4149,medium
511,0.2593,0.7845,medium
512,0.3314,0.1277,medium
513,0.1984,0.1736,high
514,0.2026,0.4669,low
515,0.2597,0.3455,medium
516,0.3874,0.8009,low
517,0.1473,0.3548,high
518,0.2237,0.626,medium
519,0.3271,0.7513,medium
520,0.0689,0.5768,high
521,0.2976,0.8235,low
522,0.2201,0.502,low
523,0.6523,0.8031,low
524,0.1767,0.6903,low
525,0.0477,0.8669,medium
526,0.1131,0.289,low
527,0.0563,0.9295,low
528,0.1677,0.1815,low
529,0.2692,0.7051,low
530,0.3325,0.2804,low
531,0.1212,0.5875,medium
532,0.5487,0.4991,low
533,0.2392,0.4454,high
534,0.0158,0.8698,low
535,0.1823,0.7792,low
536,0.075,0.1274,low
537,0.2632,0.4295,low
538,0.4681,0.4628,high
539,0.1777,0.4302,medium
540,0.1431,0.3849,low
541,0.5546,0.8921,high
542,0.3117,0.5583,medium
543,0.1879,0.7645,medium
544,0.365,0.3174,low
545,0.2344,0.0698,low
546,0.2614,0.8129,low
547,0.5311,0.742,low
548,0.2823,0.6925,high
549,0.5577,0.5405,low
550,0.2506,0.7873,low
551,0.579,0.7455,medium
552,0.0593,0.5845,medium
553,0.2393,0.3574,medium
554,0.0789,0.2356,low
555,0.0865,0.3111,low
556,0.4254,0.1669,low
557,0.2643,0.2508,medium
558,0.1349,0.3782,low
559,0.3802,0.4207,high
560,0.0752,0.5695,low
561,0.556,0.7254,high
562,0.1585,0.9677,high
563,0.4603,0.2267,medium
564,0.0899,0.3273,medium
565,0.3074,0.3661,low
566,0.4296,0.2525,low
567,0.1377,0.6015,medium
568,0.352,0.4738,low
569,0.1193,0.4773,medium
570,0.3438,0.7893,low
571,0.0605,0.541,low
572,0.3443,0.3912,low
573,0.4045,0.5097,high
574,0.1825,0.094,medium
575,0.2548,0.3254,medium
576,0.1993,0.655,medium
577,0.2286,0.2256,medium
578,0.1254,0.0084,low
579,0.4205,0.2478,high
580,0.3415,0.467,low
581,0.5381,0.1634,medium
582,0.1437,0.7424,medium
583,0.3932,0.7638,high
584,0.2543,0.4527,medium
585,0.3515,0.7288,medium
586,0.7083,0.5587,low
587,0.4584,0.5498,low
588,0.0773,0.4977,medium
589,0.0233,0.6217,medium
590,0.3026,0.7585,low
591,0.2024,0.3509,low
592,0.0905,0.682,medium
593,0.5076,0.3353,low
594,0.3011,0.5859,low
595,0.1873,0.5642,medium
596,0.1692,0.8347,low
597,0.121,0.512,high
598,0.2765,0.3041,medium
599,0.2602,0.2375,low
600,0.4542,0.5369,low
601,0.3281,0.8081,low
602,0.4701,0.8125,high
603,0.2699,0.193,low
604,0.2855,0.6196,medium
605,0.2077,0.8092,medium
606,0.1334,0.7014,low
607,0.0777,0.5447,low
608,0.3233,0.6489,low
609,0.3605,0.4775,medium
610,0.4653,0.1113,high
611,0.2618,0.8526,high
612,0.3713,0.4436,low
613,0.4125,0.3207,medium
614,0.1895,0.5663,medium
615,0.444,0.5036,high
616,0.1524,0.5608,medium
617,0.1365,0.5319,low
618,0.3509,0.6465,low
619,0.3634,0.7057,high
620,0.1945,0.5681,medium
621,0.0795,0.4391,low
622,0.0637,0.4691,high
623,0.36,0.5281,medium
624,0.1478,0.0874,low
625,0.2158,0.0844,low
626,0.6899,0.5088,low
627,0.0668,0.2631,medium
628,0.1539,0.2988,medium
629,0.3326,0.923,high
630,0.3029,0.146,low
631,0.2305,0.5464,low
632,0.0599,0.1403,low
633,0.2578,0.7551,low
634,0.4961,0.6866,medium
635,0.2945,0.4405,medium
636,0.0847,0.7134,high
637,0.1817,0.2508,medium
638,0.5414,0.2737,low
639,0.6279,0.8346,low
640,0.3471,0.3362,medium
641,0.2658,0.012,medium
642,0.4211,0.2195,low
643,0.183,0.3832,high
644,0.372,0.738,high
645,0.1686,0.356,medium
646,0.1373,0.4489,low
647,0.0642,0.2449,low
648,0.4712,0.4894,medium
649,0.2274,0.5429,low
650,0.3279,0.3049,low
651,0.493,0.9462,medium
652,0.1186,0.4276,low
653,0.1162,0.4176,low
654,0.5741,0.5576,low
655,0.2624,0.2592,low
656,0.3164,0.6445,low
657,0.3152,0.5939,medium
658,0.0614,0.3225,low
659,0.3982,0.5222,low
660,0.4048,0.1239,low
661,0.185,0.7306,low
662,0.266,0.8356,low
663,0.3633,0.6971,low
664,0.2735,0.3633,medium
665,0.4283,0.5326,high
666,0.2824,0.469,low
667,0.1939,0.2097,low
668,0.2072,0.8875,medium
669,0.3171,0.8729,medium
670,0.2894,0.7645,low
671,0.2232,0.549,high
672,0.4455,0.7612,low
673,0.0326,0.1881,high
674,0.2116,0.4975,high
675,0.2257,0.4398,high
676,0.2862,0.7746,low
677,0.1484,0.5472,low
678,0.1584,0.2746,low
679,0.1882,0.4625,medium
680,0.2028,0.8373,low
681,0.3122,0.236,low
682,0.1795,0.1784,low
683,0.2842,0.1084,low
684,0.1836,0.8883,medium
685,0.6317,0.1846,high
686,0.1762,0.5719,low
687,0.2064,0.6348,low
688,0.1527,0.4145,medium
689,0.0528,0.3306,low
690,0.051,0.2576,low
691,0.1097,0.5549,low
692,0.3615,0.4254,low
693,0.0535,0.6047,low
694,0.0805,0.5019,medium
695,0.3307,0.0243,high
696,0.2098,0.5472,high
697,0.402,0.8334,medium
698,0.384,0.1298,low
699,0.4096,0.5947,high
700,0.1248,0.2141,medium
701,0.1123,0.5886,medium
702,0.0693,0.1356,low
703,0.3042,0.1576,medium
704,0.1948,0.7676,medium
705,0.1209,0.8751,medium
706,0.1394,0.4009,low
707,0.2735,0.8416,low
708,0.5602,0.4465,medium
709,0.2521,0.8694,low
710,0.3886,0.6421,low
711,0.2215,0.3853,low
712,0.5123,0.1062,medium
713,0.6104,0.4022,low
714,0.3169,0.286,low
715,0.2043,0.8457,high
716,0.3121,0.7252,low
717,0.4868,0.6151,low
718,0.1505,0.6061,low
719,0.2033,0.852,medium
720,0.3596,0.3235,low
721,0.3498,0.4074,low
722,0.46,0.3875,low
723,0.4565,0.2028,medium
724,0.4608,0.2948,medium
725,0.7577,0.5114,low
726,0.2807,0.3573,medium
727,0.0413,0.0181,medium
728,0.0433,0.6155,medium
729,0.6695,0.3529,low
730,0.2637,0.698,high
731,0.232,0.5157,medium
732,0.5827,0.038,medium
733,0.2813,0.7399,low
734,0.1765,0.5258,low
735,0.5071,0.3874,medium
736,0.5391,0.5225,medium
737,0.4046,0.4257,low
738,0.3544,0.6452,medium
739,0.3135,0.2585,low
740,0.2479,0.6064,medium
741,0.3239,0.7816,low
742,0.4235,0.6809,low
743,0.2935,0.645,low
744,0.2539,0.2368,low
745,0.0147,0.893,medium
746,0.2036,0.047,low
747,0.4947,0.359,low
748,0.0623,0.2708,low
749,0.282,0.732,low
750,0.1323,0.6367,low
751,0.2356,0.5598,medium
752,0.1846,0.1647,low
753,0.2592,0.4294,medium
754,0.3076,0.27,low
755,0.1884,0.208,low
756,0.2532,0.1829,low
757,0.3367,0.4227,low
758,0.0653,0.1559,low
759,0.4843,0.4159,low
760,0.2919,0.1991,medium
761,0.4002,0.4451,low
762,0.3215,0.4714,medium
763,0.3857,0.4965,low
764,0.0437,0.2658,high
765,0.4105,0.7846,low
766,0.1677,0.1803,low
767,0.38,0.8149,low
768,0.0896,0.1822,high
769,0.1537,0.4251,medium
770,0.4371,0.543,low
771,0.1513,0.2574,low
772,0.4343,0.151,medium
773,0.3431,0.5543,medium
774,0.0855,0.7487,low
775,0.4574,0.5153,low
776,0.33,0.5562,low
777,0.1316,0.4831,low
778,0.3423,0.3657,low
779,0.3548,0.8631,low
780,0.0281,0.7798,low
781,0.149,0.5559,medium
782,0.2453,0.64,low
783,0.1328,0.6129,low
784,0.2132,0.532,high
785,0.2732,0.8495,low
786,0.3672,0.4996,low
787,0.2183,0.6885,low
788,0.1516,0.6404,low
789,0.4077,0.5437,low
790,0.2791,0.2414,low
791,0.243,0.5335,low
792,0.3619,0.6466,medium
793,0.0677,0.5494,high
794,0.5623,0.4742,low
795,0.0908,0.4095,medium
796,0.6302,0.5298,medium
797,0.1092,0.5834,low
798,0.3946,0.0859,low
799,0.4534,0.7166,low
800,0.3342,0.1298,medium
801,0.3443,0.2986,high
802,0.1995,0.3966,high
803,0.2536,0.3514,medium
804,0.4087,0.2887,low
805,0.1623,0.2246,low
806,0.5728,0.4374,low
807,0.3935,0.9086,low
808,0.3274,0.4755,high
809,0.0881,0.636,low
810,0.1089,0.1692,medium
811,0.0837,0.6364,low
812,0.3768,0.1413,medium
813,0.3239,0.5291,medium
814,0.1615,0.611,low
815,0.2559,0.2547,medium
816,0.3544,0.4612,low
817,0.3181,0.3719,medium
818,0.1101,0.5889,low
819,0.5532,0.412,medium
820,0.0105,0.236,medium
821,0.3041,0.0776,low
822,0.4238,0.1631,medium
823,0.171,0.4211,high
824,0.2665,0.6807,low
825,0.1178,0.543,low
826,0.1696,0.5582,low
827,0.5487,0.0626,medium
828,0.3935,0.5873,medium
829,0.2338,0.0871,medium
830,0.1134,0.3703,low
831,0.2121,0.4467,high
832,0.2883,0.6453,low
833,0.1886,0.7758,medium
834,0.2374,0.624,medium
835,0.0088,0.3332,low
836,0.2515,0.9438,low
837,0.2351,0.7184,high
838,0.4595,0.2129,low
839,0.1812,0.1473,medium
840,0.3737,0.4289,low
841,0.413,0.7839,medium
842,0.3768,0.238,low
843,0.2909,0.5139,medium
844,0.2962,0.6888,low
845,0.3955,0.7113,low
846,0.2176,0.8176,medium
847,0.2947,0.454,medium
848,0.1737,0.9953,medium
849,0.4753,0.5965,low
850,0.3935,0.2028,low
851,0.1119,0.345,high
852,0.2997,0.4252,medium
853,0.3601,0.8181,medium
854,0.5107,0.5422,low
855,0.4486,0.3483,medium
856,0.3162,0.5669,medium
857,0.0921,0.4281,low
858,0.2806,0.7256,low
859,0.2828,0.9025,low
860,0.2458,0.3157,high
861,0.4648,0.3807,high
862,0.4079,0.531,low
863,0.4029,0.2541,medium
864,0.5002,0.4065,medium
865,0.3142,0.6219,high
866,0.2979,0.4285,medium
867,0.3579,0.2429,low
868,0.0511,0.5831,high
869,0.2601,0.1391,high
870,0.1717,0.7675,medium
871,0.3831,0.2924,low
872,0.4823,0.539,medium
873,0.2898,0.2857,low
874,0.0405,0.5409,medium
875,0.7565,0.6532,high
876,0.2824,0.7844,low
877,0.4131,0.8507,low
878,0.5073,0.0762,low
879,0.6915,0.2795,high
880,0.3012,0.266,medium
881,0.6265,0.5358,low
882,0.2652,0.4719,high
883,0.0396,0.2952,high
884,0.3968,0.4401,high
885,0.7036,0.7016,medium
886,0.0319,0.5553,medium
887,0.1389,0.483,low
888,0.6141,0.4393,low
889,0.5842,0.489,medium
890,0.1261,0.407,low
891,0.4675,0.6423,low
892,0.3675,0.5112,low
893,0.2245,0.2735,low
894,0.3306,0.5525,low
895,0.2484,0.2127,high
896,0.2925,0.306,low
897,0.1681,0.5088,medium
898,0.3004,0.4136,medium
899,0.4761,0.254,medium
900,0.1012,0.221,low
901,0.1652,0.9449,medium
902,0.0733,0.6583,high
903,0.2401,0.8987,medium
904,0.128,0.8088,low
905,0.0573,0.2163,medium
906,0.1289,0.172,medium
907,0.4436,0.7672,low
908,0.5383,0.3978,medium
909,0.5317,0.3513,low
910,0.4845,0.285,low
911,0.267,0.6115,low
912,0.213,0.1447,low
913,0.5206,0.5864,low
914,0.3869,0.3519,high
915,0.1369,0.6254,low
916,0.6348,0.6465,low
917,0.1372,0.3501,medium
918,0.5353,0.6714,medium
919,0.4264,0.5333,medium
920,0.4329,0.5582,high
921,0.1592,0.8044,medium
922,0.212,0.5976,medium
923,0.179,0.3319,low
924,0.3218,0.8498,medium
925,0.2056,0.6499,medium
926,0.0982,0.4721,low
927,0.1603,0.5631,low
928,0.2383,0.6809,low
929,0.154,0.5483,low
930,0.4805,0.6369,low
931,0.4997,0.3674,medium
932,0.246,0.8291,medium
933,0.2956,0.4815,low
934,0.4023,0.4516,low
935,0.546,0.5988,low
936,0.3098,0.201,medium
937,0.1974,0.5759,low
938,0.1793,0.572,high
939,0.6025,0.1897,low
940,0.169,0.6901,medium
941,0.1638,0.54,low
942,0.5226,0.2259,medium
943,0.2471,0.203,low
944,0.3791,0.2695,medium
945,0.3656,0.7329,high
946,0.0965,0.1776,high
947,0.2168,0.5793,high
948,0.1256,0.5483,low
949,0.1464,0.2766,low
950,0.1569,0.6249,high
951,0.0991,0.4773,high
952,0.5864,0.7991,low
953,0.28,0.5916,low
954,0.4775,0.622,low
955,0.2545,0.453,low
956,0.5099,0.7388,low
957,0.0486,0.1286,medium
958,0.061,0.5162,low
959,0.2692,0.8407,low
960,0.2753,0.3332,low
961,0.4238,0.6503,low
962,0.2632,0.8176,medium
963,0.2747,0.9559,low
964,0.2647,0.0417,high
965,0.2734,0.4112,low
966,0.0657,0.1592,medium
967,0.4084,0.2635,low
968,0.4604,0.4561,medium
969,0.1641,0.3004,medium
970,0.3133,0.636,low
971,0.1412,0.7829,medium
972,0.2459,0.6432,medium
973,0.3525,0.4721,low
974,0.4046,0.5077,medium
975,0.5942,0.6951,medium
976,0.3018,0.5464,medium
977,0.1915,0.3989,low
978,0.2563,0.5364,medium
979,0.2831,0.6225,high
980,0.2162,0.4955,medium
981,0.2605,0.2764,low
982,0.0589,0.4562,low
983,0.0941,0.8937,low
984,0.2302,0.5216,low
985,0.1543,0.6002,low
986,0.503,0.2973,low
987,0.2958,0.2686,high
